,neg,neu,pos,compound,email_text,email_type
0,0.078,0.753,0.169,0.885,"does your cr ` edit suck ? , ` how ' s your credit ? to finance anything , home or car , credit is all that matters . raise your credit score in 30 days . the three main credit bureaus gather your personal information and sell it for a fee . the fair credit reporting act gives the consumer ( you ) the right to contest items on your report . you may think that things have to remain on your report for seven years . that is a lie . the problem is that the fair credit report act gives you rights . if you choose not to excercise your rights then negative items will continue to damage your credit . let us show you how credit repair can work for you",1
1,0.0,0.942,0.058,0.4404,"letter to allegheny tammie , attached is the letter drafted for louise . i am having the overnight envelopes pulled together which i will provide to you later today . i will come up and visit with you to give you all the details . thanks , don",0
2,0.01,0.968,0.023,0.9559,"evolution of language conference ( apologies for multiple postings ) * * * * * * * * the evolution of language * * * * * * * * 2nd international conference date : monday 6th - thursday 9th april , 1998 venue : city university , london organised by : prof . jean aitchison ( oxford university ) , prof . james hurford ( university of edinburgh ) and dr . chris knight ( university of east london ) a preliminary programme for this conference is now available . further details and a registration form can be obtained from : joan tremble uel business services duncan house high street london e15 2jb tel . 0181 2150705 fax : 0181 849 3619 email : j . tremble @ uel . ac . uk or from our website at : http : / / www . uel . ac . uk / faculties / socsci / anthro / confreg . htm preliminary programme monday 6th april 2pm - 6pm - plenary session 2pm opening remarks 2 . 10 jean aitchison ' language origins and ( psycho - ) linguistic theories ' 2 . 40 colin renfrew ' small talk , or why was the ` human revolution ' so impressive ' 3 . 10 mark pagel ' the history , rate and pattern of world linguistic evolution ' 3 . 40 tea / coffee break 4 . 10 terrence deacon ' constraints on brain-language co-evolution ' 4 . 40 derek bickerton ' protolanguage to language : the rest of the story ' 5 . 10 robert berwick ' evolution and language acquisition : from ` classical ' to ` modern ' models of evolutionary innovation ' 5 . 40 general discussion tuesday 7th april 9am - 1pm - parallel session room one 9am heidi lyn saffer & e . sue savage-rumbaugh ' observational word learning in bonobos ( pan paniscus ) ' 9 . 25 michael beran , e . sue savage-rumbaugh & karen brakke ' language comprehension in three chimpanzees ( pan troglodytes ) : effect of rearing on level of comprehension ' 9 . 50 robert worden ' words , memes and language evolution ' 10 . 15 paul bloom ' the evolution of words ' 10 . 40 tea / coffee break 11 . 05 william abler ' algebraic syntax ' 11 . 30 ezequiel di paolo ' spatio - temporal and structural constraints in the evolution of communication ' 11 . 55 angelo cangelosi & stevan harnad ' adaptive advantages of ` hearsay ' over direct sensorimotor experiences ' 12 . 20 general discussion tuesday 7th april 9am - 1pm - parallel session room two 9am peter macneilage & barbara davis ' evolution of speech : the relation between ontogeny and phylogeny ' 9 . 25 marilyn may vihman & rory de paolis ' the role of mimesis in infant language development : evidence for phylogeny ? ' 9 . 50 luc steels ' the origins of linguistic categories ' 10 . 15 tea / coffee break 10 . 40 john batali ' the negotiation and acquisition of recursive grammars as a result of competition among exemplars ' 11 . 05 simon kirby ' how compositionality emerges from vocabulary in a population of learners ' 11 . 30 james hurford ' syntax creation from randomness ' 11 . 55 ted briscoe ' how natural is natural language ? human languages as complex adaptive systems ' 12 . 20 general discussion tuesday 7th april 2pm - 5pm - parallel session room one 2pm dean falk ' proto - music and proto-language in australopithecines and beyond ' 2 . 25 james steele ' right - shifted handedness frequencies : a marker of selection for proto-language abilities ? ' 2 . 50 tim crow ' did homo sapiens speciate ( and language originate ) on the y chromosome ? ' 3 . 15 tea / coffee break 3 . 40 myrna gopnik ' language evolution = rules and representations ' 4 . 05 heather k . j . van der lely ' evidence for a grammar specific deficit in children : implications for the biological evolution of language ' 4 . 30 general discussion 5 . 00 poster presentations tuesday 7th april 2pm - 5pm - parallel session room two 2pm peter gardenfors & simon winter ' evolving social constraints on individual conceptual relations ' 2 . 25 alison wray ' holistic utterances : the common link from primates to humans ' 2 . 50 tea / coffee break 3 . 15 jason noble ' the evolution of communication with and without conflicts of interest ; an argument for modelling proto-proto - language ' 3 . 40 edward kako ' reconstructing proto-language from the capacities of language-trained animals ' 4 . 05 gwen hewitt & ann maclarnon ' respiratory adaptations : protolanguage and fission-fusion groups ' 4 . 30 general discussion 5 . 00 poster presentations wednesday 8th april 9am - 1pm - parallel session room one 9am steven mithen ' thought , language and the manufacture of hand-axes ' 9 . 25 alexander marshack ' coevolution of the language and visual capacities : the archaeological and cognitive evidence ' 9 . 50 daniel dor , eva jablonka , shimona ginzberg & geva rechav ' linguistic meaning , linguistic sound , and the mechanism of genetic assimilation : towards an explicit model of the evolution of language ' 10 . 15 tea / coffee break 10 . 40 paul vogt ' the evolution of a lexicon and meaning in robotic agents through self-organizing adaptation ' 11 . 05 mike oliphant ' rethinking the language bottleneck : why do n't animals learn to communicate ? ' 11 . 30 geoffrey miller & peter todd ' evolution of vocabulary size through runaway sexual selection : theory , data and simulations ' 11 . 55 john locke ' rank , reciprocity and relationships in the evolution of language ' 12 . 20 general discussion wednesday 8th april 9am - 1pm - parallel session room two 9am jeffrey laitman , samuel marquez & joy reidenberg ' new insights from neanderthal craniofacial biology and implications for understanding their vocal abilities and speech ' 9 . 25 philip lieberman ' on the functional language system of the human brain ' 9 . 50 lynne schepartz ' the evolution of complex language from a darwinian perspective ' 10 . 15 ian maddieson ' vowel systems and language origin ' 10 . 40 tea / coffee break 11 . 05 michael studdert-kennedy ' implications of the particulate principle for the evolution of language ' 11 . 30 tecumseh fitch ' vocal tract anatomy , formants and the evolution of speech ' 11 . 55 rene carre ' the origin of speech gestures ' 12 . 20 general discussion wednesday 8th april 2pm - 5pm - parallel session room one 2pm jean louis dessalles ' linguistic relevance in hominidae politics 2 . 25 robert kluender ' getting from there to here : the intermediating role of ritual in the evolution of language ' 2 . 50 chris knight ' ritual and the evolution of syntactical speech ' 3 . 15 tea / coffee break 3 . 40 robin dunbar ' the freerider problem and the evolution of language ' 4 . 05 camilla power ' secret language in contexts of female initiation ritual ' 4 . 30 general discussion 5 . 00 poster presentations wednesday 8th april 2pm - 5pm - parallel session room two 2pm april mcmahon ' the evolution of phonological constraints ' 2 . 25 jan anward & bjorn lindblom ' morphogenesis : the systemic growth of linguistic form ' 2 . 50 tea / coffee break 3 . 15 andrew carstairs-mccarthy ' the distinction between sentences and noun phrases : an impediment to language evolution ? ' 3 . 40 bart de boer ' emergence of sound systems through self-organisation ' 4 . 05 daniel livingstone & colin fyfe ' a computational model of language-physiology coevolution ' 4 . 30 ann maclarnon & gwen hewitt ' protolanguage to language : evidence from the evolution of breathing control ' 5 . 00 general discussion thursday 9th april 9am - 1pm - plenary session 9am frederick newmeyer ' on the reconstruction of ' proto-world ' word order ' 9 . 30 david lightfoot ' the maladaptiveness of universal grammar ' 10 . 00 michael fortescue ' linguistic bottlenecks and early population movements ' 10 . 30 tea / coffee break 11 . 00 robbins burling ' comprehension and production in early language ' 11 . 30 luca cavalli-sforza ' a view of the relationships between genetics and linguistics ' 12 . 00 general discussion 12 . 30 concluding remarks ( the organisers reserve the right to make changes to the programme at any time )",0
3,0.008,0.939,0.054,0.9865,"book on labelled deduction - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - call for papers labelled deduction ( an edited volume intended for the applied logic series of kluwer academic publishers ) http : / / www . informatik . uni-freiburg . de / ~ ld98 / - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - background in september 1998 , the university of freiburg ( germany ) hosted ld ' 98 the first international workshop on labelled deduction . the participants of ld ' 98 reported on research , related to or based on labelled deduction , in many areas of computer science , artificial intelligence , mathematical logic , cognitive science , philosophy , and computational linguistics . more information on ld ' 98 is available at the url of the workshop http : / / www . informatik . uni-freiburg . de / ~ ld98 / ws / motivated by the success of the workshop , the members of the program committee of ld ' 98 will edit a volume collecting original papers on this topic and titled labelled deduction ( an edited volume intended for the applied logic series of kluwer academic publishers ) topics of interest the title reflects the planned contents of this book : we welcome original contributions on all theoretical and practical aspects of labelled deduction , including but not limited to : * logical modeling based on labelled deduction * formal metatheory for , or based on , labelled deduction * hybrid reasoners and combinations of logics based on labelling * automated reasoning , implementation , and system support * annotated logic programming * applications submissions * authors are invited to submit full papers of at most 18 pages ( formatted as described below ) to be received by january 31st , 1999 . notification of acceptance or rejection of the papers will be sent by april 30th , 1999 , and final versions of accepted papers will be due by june 15th , 1999 . * submitted papers must be original and not submitted for publication elsewhere . * the primary means of submission is electronic , in postscript format . papers should be e-mailed to ld98 @ informatik . uni-freiburg . de . if electronic submission is not possible , then 5 hard copies should be sent to the postal address given below . regardless of the submission method , a letter or e-mail message accompanying the paper must contain the title , authors , and contact information ( e-mail and postal addresses ) . * authors are strongly encouraged to use latex2e and the article document class with a4paper and 11pt as options . ( basic dimensions for a4paper - 11pt format are approximately : text height 300mm , text width 210mm , 11pt text with a 13 . 5pt leading ( baseline skip ) . ) * submitted papers must be written in english . reception of submissions will be confirmed by e-mail after we have succeeded in printing the paper . important dates submission deadline : january 31st , 1999 notification of acceptance : april 30th , 1999 deadline for final papers : june 15th , 1999 program committee david basin , institut fur informatik , albert - ludwigs - universitat freiburg , germany marcello d ' agostino , universita di ferrara , italy dov gabbay , king 's college , london , uk sean matthews , max - planck - institut fur informatik , saarbracken , germany luca vigano , institut fur informatik , albert - ludwigs - universitat freiburg , germany addresses * the labelled deduction ( ld ' 98 ) home page ( http : / / www . informatik . uni-freiburg . de / ~ ld98 / ) * email : ld98 @ informatik . uni-freiburg . de * by post : labelled deduction c / o luca vigano institut fur informatik albert - ludwigs - universitat freiburg universitatsgelande flugplatz d-79110 freiburg germany phone : + 49 ( 761 ) 203-8243 fax : + 49 ( 761 ) 203-8242",0
4,0.009,0.888,0.103,0.9699,"in the heart of your business ! corporate image can say a lot of things about your company . contemporary rhythm of life is too dynamic . sometimes it takes only several seconds for your company to be remembered or to be iost among competitors . get your ioqo , business stationery or website done riqht now ! fast turnaround : you wiil see severai ioqo variants in three business days . satisfaction quaranteed : we provide unlimited amount of changes ; you can be sure : it wili meet your needsand fit your business . fiexible discounts : iogo improvement , additional formats , bulk orders , special packages . creative design for competitive price : have a look at it right now ! _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1
5,0.024,0.906,0.071,0.7921,"budgeting / organizational due to recent events , mixed messages are permeating on what is appropriate business protocol . specific to my activities i need the following clarification : 1 ) travel limitations - is there an unspoken move to limit travel and business expenditures ? is this business smart ( as i currently manage ) or specific to enron ' s current status ? 2 ) strategic asset development - i currently have no employees committed to this group , yet my prior group is transitioning to frank . do i have the continued authority to build a business which includes new employees , new infrastructure , etc . ? if i need to wait for some specific timeline ( 5 - 10 days ) , please give me a nod . especially during this time , i need to be busy / head down / about business . . . i would appreciate your response . thanx , laura",0
6,0.083,0.851,0.066,-0.4979,"Update of /cvsroot/spamassassin/spamassassin/lib/Mail/SpamAssassin
In directory usw-pr-cvs1:/tmp/cvs-serv17442/lib/Mail/SpamAssassinModified Files:
      Tag: b2_4_0
	Conf.pm 
Log Message:
added a warning for ISPs in required_hits manual entryIndex: Conf.pm
===================================================================
RCS file: /cvsroot/spamassassin/spamassassin/lib/Mail/SpamAssassin/Conf.pm,v
retrieving revision 1.91.2.2
retrieving revision 1.91.2.3
diff -b -w -u -d -r1.91.2.2 -r1.91.2.3
--- Conf.pm	21 Aug 2002 16:27:27 -0000	1.91.2.2
+++ Conf.pm	21 Aug 2002 16:32:55 -0000	1.91.2.3
@@ -396,7 +396,11 @@
 =item required_hits n.nn   (default: 5)
 
 Set the number of hits required before a mail is considered spam.  C can
-be an integer or a real number.
+be an integer or a real number.  5.0 is the default setting, and is quite
+aggressive; it would be suitable for a single-user setup, but if you're an ISP
+installing SpamAssassin, you should probably set the default to be something
+much more conservative, like 8.0 or 10.0.  Experience has shown that you
+B get plenty of user complaints otherwise!
 
 =cut
 -------------------------------------------------------
This sf.net email is sponsored by: OSDN - Tired of that same old
cell phone?  Get a new here for FREE!
https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
_______________________________________________
Spamassassin-commits mailing list
Spamassassin-commits@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-commits",0
7,0.0,0.931,0.069,0.4404,pastoria - presentation and dashes attached are the divestiture and development dashes currently being circulated for signature . also attached is the latest draft of the executive committee presentation . call me if you have any questions . thanks .,0
8,0.074,0.732,0.193,0.9647,"
Â 
Dear 
              Homeowner,Â               *6.25% 
              30 Yr Fixed Rate MortgageInterest 
              rates are at their lowest point in 40 years! We help you find the 
              best rate for your situation by matching your needs with hundreds 
              of lenders! Home Improvement, Refinance, Second 
              Mortgage, Home Equity Loans, and More! Even with less 
              than perfect credit! Click Here for a Free Quote!
Lock 
            In YOUR LOW FIXED RATE TODAY
              aNO 
              COST OUT OF POCKET              aNO 
              OBLIGATION               aFREE 
              CONSULTATION               aALL 
              CREDIT GRADES ACCEPTED 
Rates as low as 
              6.25% won't stay this low forever CLICK HERE              Â 
              * based on mortgage rate as of 5-15-02 as low as 6.25% see lender 
              for details              Â H
Apply 
                now and one of our lending partners will get back to you within 
                48 hours.CLICK HERE!
To Be Removed Please ""Clicking 
Here"" . ",1
9,0.0,0.907,0.093,0.7712,"To remove see below.I work with a company that submits
web sites to search engines and saw
your listing on the internet.We can submit your site twice a month
to over 400 search engines and directories
for only $29.95 per month.We periodically mail you progress
reports showing where you are ranked.To get your web site in the fast lane
call our toll free number below!Sincerely,Brian Waters
888-532-8842
* All work is verified
To be removed call: 888-800-6339 X1377",1
